away_team,away_points,home_team,home_points,n_ot
Houston Rockets,108,Los Angeles Lakers,90,0
Orlando Magic,84,New Orleans Pelicans,101,0
Dallas Mavericks,100,San Antonio Spurs,101,0
Brooklyn Nets,105,Boston Celtics,121,0
Milwaukee Bucks,106,Charlotte Hornets,108,1
Detroit Pistons,79,Denver Nuggets,89,0
Philadelphia 76ers,91,Indiana Pacers,103,0
Minnesota Timberwolves,101,Memphis Grizzlies,105,0
Washington Wizards,95,Miami Heat,107,0
Chicago Bulls,104,New York Knicks,80,0
Los Angeles Lakers,99,Phoenix Suns,119,0
Oklahoma City Thunder,89,Portland Trail Blazers,106,0
Golden State Warriors,95,Sacramento Kings,77,0
Atlanta Hawks,102,Toronto Raptors,109,0
Houston Rockets,104,Utah Jazz,93,0
New York Knicks,95,Cleveland Cavaliers,90,0
Utah Jazz,102,Dallas Mavericks,120,0
Oklahoma City Thunder,90,Los Angeles Clippers,93,0
Detroit Pistons,91,Minnesota Timberwolves,97,0
Washington Wizards,105,Orlando Magic,98,0
Cleveland Cavaliers,114,Chicago Bulls,108,1
Memphis Grizzlies,97,Indiana Pacers,89,0
Los Angeles Clippers,118,Los Angeles Lakers,111,0
Philadelphia 76ers,81,Milwaukee Bucks,93,0
San Antonio Spurs,89,Phoenix Suns,94,0
Portland Trail Blazers,94,Sacramento Kings,103,0
Indiana Pacers,92,Atlanta Hawks,102,0
Memphis Grizzlies,71,Charlotte Hornets,69,0
Brooklyn Nets,102,Detroit Pistons,90,0
Los Angeles Lakers,104,Golden State Warriors,127,0
Boston Celtics,90,Houston Rockets,104,0
Chicago Bulls,106,Minnesota Timberwolves,105,0
Dallas Mavericks,109,New Orleans Pelicans,104,0
Denver Nuggets,91,Oklahoma City Thunder,102,0
Toronto Raptors,108,Orlando Magic,95,0
Miami Heat,114,Philadelphia 76ers,96,0
Phoenix Suns,91,Utah Jazz,118,0
Milwaukee Bucks,97,Washington Wizards,108,0
Sacramento Kings,98,Los Angeles Clippers,92,0
Toronto Raptors,102,Miami Heat,107,0
Charlotte Hornets,93,New York Knicks,96,0
Golden State Warriors,95,Portland Trail Blazers,90,0
Oklahoma City Thunder,85,Brooklyn Nets,116,0
Boston Celtics,113,Dallas Mavericks,118,0
Sacramento Kings,110,Denver Nuggets,105,0
Utah Jazz,101,Los Angeles Clippers,107,0
New Orleans Pelicans,81,Memphis Grizzlies,93,0
Houston Rockets,104,Philadelphia 76ers,93,0
Orlando Magic,90,Chicago Bulls,98,0
Milwaukee Bucks,87,Indiana Pacers,81,0
Phoenix Suns,112,Los Angeles Lakers,106,0
Houston Rockets,108,Miami Heat,91,0
Charlotte Hornets,91,New Orleans Pelicans,100,0
Washington Wizards,98,New York Knicks,83,0
Cleveland Cavaliers,82,Portland Trail Blazers,101,0
Oklahoma City Thunder,88,Toronto Raptors,100,0
Toronto Raptors,110,Boston Celtics,107,0
Minnesota Timberwolves,98,Brooklyn Nets,91,0
Miami Heat,89,Charlotte Hornets,96,0
New York Knicks,95,Detroit Pistons,98,0
Los Angeles Clippers,104,Golden State Warriors,121,0
Chicago Bulls,95,Milwaukee Bucks,86,0
Orlando Magic,91,Philadelphia 76ers,89,0
Memphis Grizzlies,102,Phoenix Suns,91,0
Denver Nuggets,109,Sacramento Kings,131,0
Atlanta Hawks,92,San Antonio Spurs,94,0
Cleveland Cavaliers,100,Utah Jazz,102,0
Indiana Pacers,94,Washington Wizards,96,1
